category	id	canonicalId	in-game-name	via	resolved-title	image-filename	flags
fish	tadpole	tadpole	Tadpole	a:bare	Tadpole	Tadpole_nh.png	-
fish	neon-tetra	neon-tetra	Neon Tetra	a:bare	Neon tetra	Neon_Tetra_NH.png	-
fish	nibble-fish	nibble-fish	Nibble Fish	a:bare	Nibble fish	Nibblefish_NH.jpg	-
fish	saddled-bichir	saddled-bichir	Saddled Bichir	a:bare	Saddled bichir	Saddled_Bichir.jpg	-
fish	soft-shelled-turtle	soft-shelled-turtle	Soft-shelled Turtle	a:bare	Soft-shelled turtle	NH-Soft-shelled_turtle.png	-
fish	snapping-turtle	snapping-turtle	Snapping Turtle	a:bare	Snapping turtle	Snapping_turtle_nh.png	-
fish	tilapia	tilapia	Tilapia	a:bare	Tilapia	Tilapia_NH.png	-
fish	pike	pike	Pike	a:bare	Pike	Pike_NH.png	-
fish	sturgeon	sturgeon	Sturgeon	a:bare	Sturgeon	NH-Sturgeon.png	-
fish	sea-horse	sea-horse	Sea Horse	a:bare	Seahorse	Nh-sea-horse.jpg	-
fish	surgeonfish	surgeonfish	Surgeonfish	a:bare	Surgeonfish	Surgeonfish_NH.jpg	-
fish	butterfly-fish	butterfly-fish	Butterfly Fish	a:bare	Butterfly fish	Nh-butterfly-fish.jpg	-
fish	napoleonfish	napoleonfish	Napoleonfish	a:bare	Napoleonfish	Napoleon_Fish_%28New_Horizons%29.jpeg	-
fish	blowfish	blowfish	Blowfish	a:bare	Blowfish	Blowfish_NH.png	-
fish	anchovy	anchovy	Anchovy	b:disambig	Anchovy (fish)	NH-encyclopedia-Anchovy.png	-
fish	moray-eel	moray-eel	Moray Eel	a:bare	Moray eel	Moray_Eel_NH.png	-
fish	ray	ray	Ray	a:bare	Ray	Ray_NH.png	-
fish	great-white-shark	great-white-shark	Great White Shark	override	Great white shark	Great-White-Shark-in-Animal-Crossing-New-Horizons-1024x576.jpg	-
fish	whale-shark	whale-shark	Whale Shark	a:bare	Whale shark	Whale_Shark.jpg	-
fish	saw-shark	saw-shark	Saw Shark	a:bare	Saw shark	Saw.jpg	-
fish	oarfish	oarfish	Oarfish	a:bare	Oarfish	Nh-oarfish.jpg	-
fish	giant-trevally	giant-trevally	Giant Trevally	a:bare	Giant trevally	Giant_trevally_nh.png	-
fish	mahi-mahi	mahi-mahi	Mahi-mahi	a:bare	Mahi-mahi	NH-fish-Mahimahi.png	-
bugs	common-bluebottle	common-bluebottle	Common Bluebottle	a:bare	Common bluebottle	NH-Common_bluebottle.jpg	-
bugs	great-purple-emperor	great-purple-emperor	Great Purple Emperor	a:bare	Great purple emperor	NH-Great_Purple_Emperor.png	-
bugs	rajah-brooke-birdwing	rajah-brooke-birdwing	Rajah Brooke's Birdwing	c:search	Rajah Brooke's birdwing/Gallery	RajaBrookeButterfly.png	gallery-subpage
bugs	queen-alexandra-birdwing	queen-alexandra-birdwing	Queen Alexandra's Birdwing	a:bare	Queen Alexandra's birdwing	NH-Queen_Alexandra%27s_birdwing.png	-
bugs	atlas-moth	atlas-moth	Atlas Moth	c:search	Atlas moth/Gallery	NH-Atlas_moth.jpg	gallery-subpage
bugs	madagascan-sunset-moth	madagascan-sunset-moth	Madagascan Sunset Moth	c:search	Madagascan sunset moth/Gallery	Madagascan_sunset_moth_encyclopedia_%28New_Horizons%29.PNG	gallery-subpage
bugs	rice-grasshopper	rice-grasshopper	Rice Grasshopper	a:bare	Rice grasshopper	16954.png	-
bugs	walking-stick	walking-stick	Walking Stick	a:bare	Walking stick	Walking_Stick_NH.png	-
bugs	walking-leaf	walking-leaf	Walking Leaf	a:bare	Walking leaf	Walking_Leaf_NH.png	-
bugs	wasp	wasp	Wasp	a:bare	Wasp	NH-Wasp.png	-
bugs	giant-cicada	giant-cicada	Giant Cicada	a:bare	Giant cicada	Giant_Cicada_NH.png	-
bugs	cicada-shell	cicada-shell	Cicada Shell	a:bare	Cicada shell	Cicada_Shell_NH.png	-
bugs	petaltail-dragonfly	petaltail-dragonfly	Petaltail Dragonfly	a:bare	Petaltail dragonfly	Petaltail_dragonfly_encyclopedia_%28New_Leaf%29.jpg	-
bugs	diving-beetle	diving-beetle	Diving Beetle	a:bare	Diving beetle	NH-diving_beetle.png	-
bugs	giant-water-bug	giant-waterbug	Giant Water Bug	override	Giant water bug	NH-Giant_water_bug.jpg	-
bugs	stinkbug	stinkbug	Stinkbug	a:bare	Stinkbug	Stinkbugcritterpedia.png	-
bugs	man-faced-stinkbug	man-faced-stinkbug	Man-faced Stinkbug	override	Man-faced stink bug	Man-faced_Stink_Bug.jpeg	-
bugs	tiger-beetle	tiger-beetle	Tiger Beetle	a:bare	Tiger beetle	Tiger_Beetle_NH.png	-
bugs	violin-beetle	violin-beetle	Violin Beetle	a:bare	Violin beetle	NH-violin_beetle.png	-
bugs	citrus-longhorn-beetle	citrus-longhorn-beetle	Citrus Long-horned Beetle	a:bare	Citrus long-horned beetle	Citrus_Long-Horned_Beetle_NH.png	-
bugs	miyama-stag-beetle	miyama-stag-beetle	Miyama Stag Beetle	a:bare	Miyama stag	Miyama_stag_nh.png	-
bugs	giant-stag-beetle	giant-stag-beetle	Giant Stag Beetle	a:bare	Giant stag	Giant_stag_nh.png	-
bugs	rainbow-stag-beetle	rainbow-stag-beetle	Rainbow Stag Beetle	a:bare	Rainbow stag	Rainbow_stag_nh.png	-
bugs	cyclommatus-stag-beetle	cyclommatus-stag-beetle	Cyclommatus Stag Beetle	override	Cyclommatus stag	Cyclommatus_stag_nh.png	-
bugs	golden-stag-beetle	golden-stag-beetle	Golden Stag Beetle	override	Golden stag	Golden_stag_nh.png	-
bugs	giraffe-stag-beetle	giraffe-stag-beetle	Giraffe Stag Beetle	override	Giraffe stag	Giraffe_stag_nh.png	-
bugs	earth-boring-dung-beetle	earth-boring-dung-beetle	Earth-boring Dung Beetle	a:bare	Earth-boring dung beetle	Earth-boring_dung_beetle_nh.png	-
bugs	centipede	centipede	Centipede	a:bare	Centipede	NH-Centipede.jpg	-
fossils	brachiosaurus-skull	brachiosaurus-skull	Brachiosaurus	a:bare	Brachiosaurus	NH-Brachio-plaque.jpg	-
fossils	brachiosaurus-neck	brachiosaurus-neck	Brachiosaurus	a:bare	Brachiosaurus	NH-Brachio-plaque.jpg	-
fossils	brachiosaurus-torso	brachiosaurus-torso	Brachiosaurus	a:bare	Brachiosaurus	NH-Brachio-plaque.jpg	-
fossils	brachiosaurus-tail	brachiosaurus-tail	Brachiosaurus	a:bare	Brachiosaurus	NH-Brachio-plaque.jpg	-
fossils	diplodocus-skull	diplodocus-skull	Diplodocus	a:bare	Diplodocus	Diplodocus.jpeg	-
fossils	diplodocus-neck	diplodocus-neck	Diplodocus	a:bare	Diplodocus	Diplodocus.jpeg	-
fossils	diplodocus-torso	diplodocus-torso	Diplodocus	a:bare	Diplodocus	Diplodocus.jpeg	-
fossils	diplodocus-tail	diplodocus-tail	Diplodocus	a:bare	Diplodocus	Diplodocus.jpeg	-
fossils	spinosaurus-skull	spinosaurus-skull	Spinosaurus	a:bare	Spinosaurus	Spinosaurus.png	-
fossils	spinosaurus-torso	spinosaurus-torso	Spinosaurus	a:bare	Spinosaurus	Spinosaurus.png	-
